Country,Annual GDP Growth,Date
Azerbaijan,2.4,6/19/2019
Croatia,2.4,6/19/2019
Albania,2.31,6/19/2019
Mozambique,2.3,6/19/2019
Thailand,2.3,6/19/2019
Cuba,2.2,12/18/2019
United Arab Emirates,2.2,3/19/2019
New Zealand,2.1,6/19/2019
Gabon,2,12/18/2019
Slovakia,2,6/19/2019
South Korea,2,9/19/2019
Spain,2,9/19/2019
United States,2,9/19/2019
Nigeria,1.94,6/19/2019
Chile,1.9,6/19/2019
Greece,1.9,6/19/2019
Honduras,1.9,6/19/2019
Republic of the Congo,1.9,12/18/2019
Suriname,1.9,12/18/2019
Syria,1.9,12/17/2019
El Salvador,1.8,6/19/2019
Iran,1.8,6/18/2019
Jordan,1.8,6/19/2019
Netherlands,1.8,6/19/2019
Portugal,1.8,6/19/2019
Bahamas,1.6,12/18/2019
Belgium,1.6,9/19/2019
Canada,1.6,6/19/2019
Sri Lanka,1.6,6/19/2019
Algeria,1.5,3/19/2019
Austria,1.5,9/19/2019
Chad,1.5,12/18/2019
Haiti,1.5,12/18/2019
Australia,1.4,6/19/2019
Costa Rica,1.4,6/19/2019
European Union,1.4,9/19/2019
Belarus,1.3,3/19/2019
France,1.3,9/19/2019
Jamaica,1.3,6/19/2019
United Kingdom,1.3,6/19/2019
Finland,1.2,6/19/2019
Lesotho,1.2,12/18/2019
Peru,1.2,6/19/2019
Tunisia,1.2,6/19/2019
Euro Area,1.1,9/19/2019
Brazil,1,6/19/2019
Japan,1,6/19/2019
Lebanon,1,12/18/2019
New Caledonia,1,12/18/2019
Sweden,1,6/19/2019
Russia,0.9,6/19/2019
South Africa,0.9,6/19/2019
Bahrain,0.84,6/19/2019
East Timor,0.8,12/18/2019
Argentina,0.6,6/19/2019
Saudi Arabia,0.5,6/19/2019
Germany,0.4,6/19/2019
Ecuador,0.3,6/19/2019
Italy,0.3,9/19/2019
Papua New Guinea,0.3,12/18/2019
Switzerland,0.2,6/19/2019
Singapore,0.1,9/19/2019
Uruguay,0.1,6/19/2019
Angola,-0.1,6/19/2019
Mexico,-0.4,9/19/2019
Swaziland,-0.5,12/18/2019
Barbados,-0.6,12/18/2019
Norway,-0.7,6/19/2019
Belize,-0.8,6/19/2019
Iraq,-1,12/18/2019
Trinidad and Tobago,-1,3/19/2019
Qatar,-1.4,6/19/2019
Turkey,-1.5,6/19/2019
Macau,-1.8,6/19/2019
Namibia,-2.6,6/19/2019
Yemen,-2.7,12/18/2019
Hong Kong,-2.9,9/19/2019
Paraguay,-3,6/19/2019
Monaco,-3.5,12/17/2019
South Sudan,-3.8,12/18/2019
North Korea,-4.1,12/18/2019
Puerto Rico,-4.7,12/18/2019
Nicaragua,-7.7,12/18/2019
Equatorial Guinea,-7.9,12/18/2019
Venezuela,-22.5,9/18/2019
